strategy,method_name,protocol_tag,diagnostic_only,formal_benchmark,full_contract_pending,id_train_alarm,ood_val_alarm,final_ood_alarm,attack_support_detection,attack_eval_detection,feasible_under_1pct,collapse_flag_attack_eval_lt_0p20,ood_overbudget_flag,final_eval_used_for_selection,attack_eval_used_for_selection,score_shape,score_dtype,score_finite_rate,score_nan_count,score_inf_count,status,notes
reset_at_split_boundary,Raw_LR_IDThreshold_diagnostic,raw_lr_ablation,True,False,True,0.014333333333333333,0.6496666666666666,0.5243333333333333,0.9991111111111111,0.9968888888888889,False,False,True,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
reset_at_split_boundary,LR_ThresholdOnly_OODVal_diagnostic,threshold_safety_ablation,True,False,True,0.0,0.01,0.212,0.0,0.0013333333333333333,False,True,True,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
reset_at_split_boundary,LOW_GUARD_LR_Shell_dry_run,guarded_protocol_candidate,True,False,True,0.0,0.01,0.212,0.0,0.0013333333333333333,False,True,True,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
reset_at_split_boundary,HistGB_Guarded_dry_run,guarded_head_candidate,True,False,True,0.0,0.011333333333333334,0.002,0.9568888888888889,0.9182222222222223,True,False,False,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
reset_at_split_boundary,DeepSADStyle_Lite_dry_run,center_style_candidate,True,False,True,0.01,0.01,0.011333333333333334,0.8506666666666667,0.764,False,False,True,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
reset_at_split_boundary,IsolationForest_IDOnly_diagnostic,id_only_anomaly_baseline,True,False,True,0.002,0.010333333333333333,0.04933333333333333,0.0,0.0,False,True,True,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
train_state_then_eval_online,Raw_LR_IDThreshold_diagnostic,raw_lr_ablation,True,False,True,0.013666666666666667,0.663,0.517,0.9991111111111111,0.996,False,False,True,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
train_state_then_eval_online,LR_ThresholdOnly_OODVal_diagnostic,threshold_safety_ablation,True,False,True,0.0,0.01,0.21133333333333335,0.0,0.0008888888888888889,False,True,True,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
train_state_then_eval_online,LOW_GUARD_LR_Shell_dry_run,guarded_protocol_candidate,True,False,True,0.0,0.01,0.21133333333333335,0.0,0.0008888888888888889,False,True,True,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
train_state_then_eval_online,HistGB_Guarded_dry_run,guarded_head_candidate,True,False,True,0.0,0.018333333333333333,0.007,0.9004444444444445,0.5364444444444444,True,False,False,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
train_state_then_eval_online,DeepSADStyle_Lite_dry_run,center_style_candidate,True,False,True,0.01,0.0013333333333333333,0.04066666666666666,0.8346666666666667,0.752,False,False,True,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
train_state_then_eval_online,IsolationForest_IDOnly_diagnostic,id_only_anomaly_baseline,True,False,True,0.001,0.01,0.04833333333333333,0.0,0.0,False,True,True,False,False,[2250],float64,1.0,0,0,pass,diagnostic dry-run only; no model ranking or formal claim
