setting,seed,seed_group,evidence_strategy,k,confirmed_attack_count,confirmed_attack_candidate_indices,evidence_uses_final_attack_eval,evidence_uses_final_ood_eval
primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,4,4,204;2776;3095;2046,False,False
primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,8,8,3183;3092;3670;2773;203;2679;2044;364,False,False
primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,16,16,438;3663;1587;138;2674;3177;2040;364;203;3142;271;3373;2768;3086;1749;1905,False,False
primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,32,32,3524;3660;137;2163;1007;362;202;2757;3026;2032;2762;3165;3938;474;2663;1898;3074;436;158;1711;2573;3130;1742;2429;3649;270;3566;906;3360;1581;1612;3376,False,False
primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,4,4,1805;12;201;1522,False,False
primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,8,8,1805;12;201;1522;200;3905;10;14,False,False
primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,16,16,1805;12;201;1522;200;3905;10;14;1947;219;943;3367;1528;13;15;203,False,False
primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,32,32,1805;12;201;1522;200;3905;10;14;1947;219;943;3367;1528;13;15;203;3901;344;19;22;204;3403;159;3397;4050;224;394;11;235;177;427;163,False,False
primary_lowood,42,main_42_46,R2_V2_high_V1_low_disagreement_review,4,4,392;375;348;184,False,False
primary_lowood,42,main_42_46,R2_V2_high_V1_low_disagreement_review,8,8,392;375;348;184;347;168;164;169,False,False
primary_lowood,42,main_42_46,R2_V2_high_V1_low_disagreement_review,16,16,392;375;348;184;347;168;164;169;171;165;170;172;362;394;361;377,False,False
primary_lowood,42,main_42_46,R2_V2_high_V1_low_disagreement_review,32,32,392;375;348;184;347;168;164;169;171;165;170;172;362;394;361;377;358;365;393;397;376;446;366;2238;380;398;186;185;2149;430;2224;381,False,False
primary_lowood,42,main_42_46,R3_near_threshold_uncertainty_review,4,1,4922;237;5122;5881,False,False
primary_lowood,42,main_42_46,R3_near_threshold_uncertainty_review,8,4,4922;237;5122;5881;261;5866;3680;2189,False,False
primary_lowood,42,main_42_46,R3_near_threshold_uncertainty_review,16,9,4922;237;5122;5881;261;5866;3680;2189;507;239;2014;4119;4909;2176;1431;4888,False,False
primary_lowood,42,main_42_46,R3_near_threshold_uncertainty_review,32,17,4922;237;5122;5881;261;5866;3680;2189;507;239;2014;4119;4909;2176;1431;4888;392;5258;4910;446;2218;5878;4920;1995;4358;5588;2057;257;4856;263;5882;235,False,False
primary_lowood,42,main_42_46,R4_representation_shift_high_review,4,4,12;199;13;200,False,False
primary_lowood,42,main_42_46,R4_representation_shift_high_review,8,8,12;199;13;200;348;349;347;168,False,False
primary_lowood,42,main_42_46,R4_representation_shift_high_review,16,16,12;199;13;200;348;349;347;168;350;169;352;164;171;201;14;346,False,False
primary_lowood,42,main_42_46,R4_representation_shift_high_review,32,32,12;199;13;200;348;349;347;168;350;169;352;164;171;201;14;346;353;172;354;170;202;631;351;2204;626;598;15;642;11;2199;2237;2222,False,False
primary_lowood,42,main_42_46,R5_hybrid_active_review,4,4,348;2176;392;172,False,False
primary_lowood,42,main_42_46,R5_hybrid_active_review,8,8,348;2176;392;172;375;347;199;2163,False,False
primary_lowood,42,main_42_46,R5_hybrid_active_review,16,16,348;2176;392;172;375;347;199;2163;2149;2134;3725;2224;171;2121;2107;2200,False,False
primary_lowood,42,main_42_46,R5_hybrid_active_review,32,32,348;2176;392;172;375;347;199;2163;2149;2134;3725;2224;171;2121;2107;2200;2191;2206;2238;2178;184;2076;170;169;2091;237;239;2165;168;2145;243;241,False,False
primary_lowood,43,main_42_46,R0_random_confirmed_attack_validation,4,4,2460;384;2797;1302,False,False
primary_lowood,43,main_42_46,R0_random_confirmed_attack_validation,8,8,1775;1301;3068;383;2794;2457;2374;936,False,False
primary_lowood,43,main_42_46,R0_random_confirmed_attack_validation,16,16,1230;2452;2789;3345;934;174;1771;1298;3062;383;2832;875;2759;2370;3359;972,False,False
primary_lowood,43,main_42_46,R0_random_confirmed_attack_validation,32,32,2178;2778;3645;969;3186;3240;2768;871;173;1110;1225;2241;2821;3050;930;2360;1577;928;2000;3332;2748;1633;2571;381;1717;1764;3059;2062;2462;3346;2443;1293,False,False
primary_lowood,43,main_42_46,R1_kcenter_confirmed_attack_validation,4,4,1805;12;201;1522,False,False
primary_lowood,43,main_42_46,R1_kcenter_confirmed_attack_validation,8,8,1805;12;201;1522;200;3905;10;14,False,False
primary_lowood,43,main_42_46,R1_kcenter_confirmed_attack_validation,16,16,1805;12;201;1522;200;3905;10;14;1947;219;943;3367;1528;13;15;203,False,False
primary_lowood,43,main_42_46,R1_kcenter_confirmed_attack_validation,32,32,1805;12;201;1522;200;3905;10;14;1947;219;943;3367;1528;13;15;203;3901;344;19;22;204;3403;159;3397;4050;224;394;11;235;177;427;163,False,False
primary_lowood,43,main_42_46,R2_V2_high_V1_low_disagreement_review,4,4,392;375;348;184,False,False
primary_lowood,43,main_42_46,R2_V2_high_V1_low_disagreement_review,8,8,392;375;348;184;347;168;164;169,False,False
primary_lowood,43,main_42_46,R2_V2_high_V1_low_disagreement_review,16,16,392;375;348;184;347;168;164;169;171;165;170;172;362;394;361;377,False,False
primary_lowood,43,main_42_46,R2_V2_high_V1_low_disagreement_review,32,32,392;375;348;184;347;168;164;169;171;165;170;172;362;394;361;377;358;365;393;397;376;446;366;2238;380;398;186;185;2149;430;2224;381,False,False
primary_lowood,43,main_42_46,R3_near_threshold_uncertainty_review,4,1,4922;237;5122;5881,False,False
primary_lowood,43,main_42_46,R3_near_threshold_uncertainty_review,8,4,4922;237;5122;5881;261;5866;3680;2189,False,False
primary_lowood,43,main_42_46,R3_near_threshold_uncertainty_review,16,9,4922;237;5122;5881;261;5866;3680;2189;507;239;2014;4119;4909;2176;1431;4888,False,False
primary_lowood,43,main_42_46,R3_near_threshold_uncertainty_review,32,17,4922;237;5122;5881;261;5866;3680;2189;507;239;2014;4119;4909;2176;1431;4888;392;5258;4910;446;2218;5878;4920;1995;4358;5588;2057;257;4856;263;5882;235,False,False
primary_lowood,43,main_42_46,R4_representation_shift_high_review,4,4,12;199;13;200,False,False
primary_lowood,43,main_42_46,R4_representation_shift_high_review,8,8,12;199;13;200;348;349;347;168,False,False
primary_lowood,43,main_42_46,R4_representation_shift_high_review,16,16,12;199;13;200;348;349;347;168;350;169;352;164;171;201;14;346,False,False
primary_lowood,43,main_42_46,R4_representation_shift_high_review,32,32,12;199;13;200;348;349;347;168;350;169;352;164;171;201;14;346;353;172;354;170;202;631;351;2204;626;598;15;642;11;2199;2237;2222,False,False
primary_lowood,43,main_42_46,R5_hybrid_active_review,4,4,348;2176;392;172,False,False
primary_lowood,43,main_42_46,R5_hybrid_active_review,8,8,348;2176;392;172;375;347;199;2163,False,False
primary_lowood,43,main_42_46,R5_hybrid_active_review,16,16,348;2176;392;172;375;347;199;2163;2149;2134;3725;2224;171;2121;2107;2200,False,False
primary_lowood,43,main_42_46,R5_hybrid_active_review,32,32,348;2176;392;172;375;347;199;2163;2149;2134;3725;2224;171;2121;2107;2200;2191;2206;2238;2178;184;2076;170;169;2091;237;239;2165;168;2145;243;241,False,False
primary_lowood,44,main_42_46,R0_random_confirmed_attack_validation,4,4,746;3812;2493;2852,False,False
primary_lowood,44,main_42_46,R0_random_confirmed_attack_validation,8,8,2490;275;2865;3808;349;2850;3406;746,False,False
primary_lowood,44,main_42_46,R0_random_confirmed_attack_validation,16,16,2843;2859;275;2844;2426;1977;3399;744;646;2485;2318;3757;3800;2642;3696;349,False,False
primary_lowood,44,main_42_46,R0_random_confirmed_attack_validation,32,32,3735;4041;3410;4001;2848;274;0;644;2521;3386;2832;1669;1969;2475;865;741;3743;2631;4018;2309;2833;2417;2147;996;3786;455;2774;945;3682;655;885;347,False,False
primary_lowood,44,main_42_46,R1_kcenter_confirmed_attack_validation,4,4,1805;12;201;1522,False,False
primary_lowood,44,main_42_46,R1_kcenter_confirmed_attack_validation,8,8,1805;12;201;1522;200;3905;10;14,False,False
primary_lowood,44,main_42_46,R1_kcenter_confirmed_attack_validation,16,16,1805;12;201;1522;200;3905;10;14;1947;219;943;3367;1528;13;15;203,False,False
primary_lowood,44,main_42_46,R1_kcenter_confirmed_attack_validation,32,32,1805;12;201;1522;200;3905;10;14;1947;219;943;3367;1528;13;15;203;3901;344;19;22;204;3403;159;3397;4050;224;394;11;235;177;427;163,False,False
primary_lowood,44,main_42_46,R2_V2_high_V1_low_disagreement_review,4,4,392;375;348;184,False,False
primary_lowood,44,main_42_46,R2_V2_high_V1_low_disagreement_review,8,8,392;375;348;184;347;168;164;169,False,False
primary_lowood,44,main_42_46,R2_V2_high_V1_low_disagreement_review,16,16,392;375;348;184;347;168;164;169;171;165;170;172;362;394;361;377,False,False
primary_lowood,44,main_42_46,R2_V2_high_V1_low_disagreement_review,32,32,392;375;348;184;347;168;164;169;171;165;170;172;362;394;361;377;358;365;393;397;376;446;366;2238;380;398;186;185;2149;430;2224;381,False,False
primary_lowood,44,main_42_46,R3_near_threshold_uncertainty_review,4,1,4922;237;5122;5881,False,False
primary_lowood,44,main_42_46,R3_near_threshold_uncertainty_review,8,4,4922;237;5122;5881;261;5866;3680;2189,False,False
primary_lowood,44,main_42_46,R3_near_threshold_uncertainty_review,16,9,4922;237;5122;5881;261;5866;3680;2189;507;239;2014;4119;4909;2176;1431;4888,False,False
primary_lowood,44,main_42_46,R3_near_threshold_uncertainty_review,32,17,4922;237;5122;5881;261;5866;3680;2189;507;239;2014;4119;4909;2176;1431;4888;392;5258;4910;446;2218;5878;4920;1995;4358;5588;2057;257;4856;263;5882;235,False,False
primary_lowood,44,main_42_46,R4_representation_shift_high_review,4,4,12;199;13;200,False,False
primary_lowood,44,main_42_46,R4_representation_shift_high_review,8,8,12;199;13;200;348;349;347;168,False,False
primary_lowood,44,main_42_46,R4_representation_shift_high_review,16,16,12;199;13;200;348;349;347;168;350;169;352;164;171;201;14;346,False,False
primary_lowood,44,main_42_46,R4_representation_shift_high_review,32,32,12;199;13;200;348;349;347;168;350;169;352;164;171;201;14;346;353;172;354;170;202;631;351;2204;626;598;15;642;11;2199;2237;2222,False,False
primary_lowood,44,main_42_46,R5_hybrid_active_review,4,4,348;2176;392;172,False,False
primary_lowood,44,main_42_46,R5_hybrid_active_review,8,8,348;2176;392;172;375;347;199;2163,False,False
primary_lowood,44,main_42_46,R5_hybrid_active_review,16,16,348;2176;392;172;375;347;199;2163;2149;2134;3725;2224;171;2121;2107;2200,False,False
primary_lowood,44,main_42_46,R5_hybrid_active_review,32,32,348;2176;392;172;375;347;199;2163;2149;2134;3725;2224;171;2121;2107;2200;2191;2206;2238;2178;184;2076;170;169;2091;237;239;2165;168;2145;243;241,False,False
primary_lowood,45,main_42_46,R0_random_confirmed_attack_validation,4,4,1425;3128;3366;3649,False,False
primary_lowood,45,main_42_46,R0_random_confirmed_attack_validation,8,8,3657;1424;3125;3645;2390;1851;2673;3363,False,False
primary_lowood,45,main_42_46,R0_random_confirmed_attack_validation,16,16,3638;2398;3459;1848;3660;2336;3119;2385;1421;3356;2668;3650;3390;3530;776;719,False,False
primary_lowood,45,main_42_46,R0_random_confirmed_attack_validation,32,32,155;3624;2327;3343;2388;1841;2055;2726;2658;773;3947;1415;2376;692;1214;3339;1629;3445;3106;2615;4083;3635;3516;716;3377;208;1499;2000;3646;2553;1119;4066,False,False
