method,representation,guard_type,positive_budget,seed,seed_group,ood_negative_weight,threshold_policy,uses_id_calib,uses_ood_val,uses_final_ood_eval,uses_attack_eval,threshold,id_calib_alarm_at_selection,ood_val_alarm_at_selection,paper_safe
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.13211627558618444,0.0008,0.0095,True
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.25164916488213873,0.0002,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,16,44,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,2.28086952514935,0.0002,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,16,45,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.5463506672330124,0.0008,0.0095,True
transformer_hidden_plain_lr,transformer_hidden,plain,16,46,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.9808248953309376,0.0008,0.0095,True
transformer_hidden_plain_lr,transformer_hidden,plain,16,47,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.16845927882629053,0.0002,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,16,48,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-0.017545571274594007,0.0,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,16,49,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.34579852826528734,0.0002,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,16,50,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.5345644556145107,0.0002,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,16,51,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.03880742026857949,0.0,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,32,42,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.3264108717514176,0.0002,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,32,43,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.2725544215243763,0.0008,0.0095,True
transformer_hidden_plain_lr,transformer_hidden,plain,32,44,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,1.465350874754255,0.0,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,32,45,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.20809372698484066,0.0002,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,32,46,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.029553861824832835,0.0002,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,32,47,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.04632637681158332,0.0002,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,32,48,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,1.450938934670451,0.0008,0.0095,True
transformer_hidden_plain_lr,transformer_hidden,plain,32,49,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.33046155727102167,0.0002,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,32,50,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,1.7692902193317332,0.0002,0.01,True
transformer_hidden_plain_lr,transformer_hidden,plain,32,51,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.036409648078683285,0.0002,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,16,42,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-0.18443457393903387,0.0002,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,16,43,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-0.05776176810918496,0.0002,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,16,44,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,2.1276557608486932,0.0,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,16,45,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.24308616331892635,0.0002,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,16,46,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.5469689596834519,0.0002,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,16,47,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-0.12736594778056068,0.0002,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,16,48,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-0.3173862983393657,0.0008,0.0095,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,16,49,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.005422969250141509,0.0,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,16,50,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.2891201203305571,0.0,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,16,51,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-0.2704573192554968,0.0002,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,32,42,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.09582060864740574,0.0002,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,32,43,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,0.006163420111038883,0.0002,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,32,44,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,1.1389708291500162,0.0,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,32,45,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-0.06122283799069396,0.0,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,32,46,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-0.17369359759850597,0.0,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,32,47,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,-0.29186847804119603,0.0,0.01,True
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,32,48,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,True,True,False,False,1.2128522282792287,0.0008,0.0095,True
