claim_id,claim_text,strength_level,supporting_runs,supporting_numbers,risk_or_limitation,allowed_wording,forbidden_wording
C1,top64 修复 top32 的 OOD alarm instability,strong,issue22b;issue23,"primary top32 OOD max 0.0156; top64 OOD max 0.0037; locked top32 OOD over budget; top64 locked OOD max 0.0045",same-dataset evidence,"top64 improves OOD safety over top32 under current protocols","top64 is universally safe"
C2,top64 在 primary_lowood 上 non-regressive,strong,issue22b,"V1 detection 0.9295; top64 detection 0.9476; top64 OOD max 0.0037",same protocol not external,"top64 is non-regressive on primary_lowood in issue22b","top64 is final universal detector"
C3,top64 提升 hard-shift detection,strong,issue22,"holdout_bin_2 detection 0.9740 OOD 0.0057; chrono_late detection 0.9501 OOD 0.0089",pilot not locked for those settings,"top64 strongly improves the explored harder-shift settings","hard-shift fully solved"
C4,locked validation 是 moderate positive,moderate,issue23,"locked mean 0.9497; min 0.8826; OOD max 0.0045",not uniformly better than V1,"locked bins provide moderate support","strong universal locked proof"
C5,top64 improves worst-case bin behavior,moderate,issue23,"bin8 is strongly improved over V1; locked min 0.8826",bin6/bin7 slightly lower than V1,"top64 improves the hardest observed bin while remaining feasible","top64 wins every bin"
C6,top64 does not dominate V1 every bin,strong,issue23;issue24b,"bin6/bin7 V2_top64 slightly lower than V1; V1 rescue set exists",negative boundary,"V1 remains a relevant baseline and boundary case","V2_top64 universally dominates V1"
C7,complex adapters do not replace LR,strong,issue24;issue24c,"weighted LR delta 0; SVM OOD 0.018; fusion weak optional signal",limited adapter family,"LR remains justified as lightweight guarded adapter","all complex adapters are useless"
C8,routing/promotion not solved,strong,issue20;issue20b;issue21,"routing selected V1 for all; no clean proxy; active evidence not clean",deployment limitation,"routing/promotion remain future work","routed deployment solved"
C9,LR is justified as lightweight guarded adapter,moderate,issue24;issue24c,"LR baseline best or retained; fusion not replacement",LR itself not novel,"LR is the stable implementation of the guarded adapter","LR alone is the main novelty"
C10,strong baselines still needed,strong,issue23;issue24c,"moderate locked validation; adapter upgrade stopped",missing baseline pack,"strong baseline pack is the next required validation","method is ready without baselines"
C11,second environment or temporal validation still needed,strong,issue23;issue24c,"locked bins are same-dataset; external validity risk high",external validity gap,"second environment/temporal validation is necessary","external generalization proven"
