head,head_description,protocol_variant,definition,metrics,collapse_definition,implementation_cost,notes
LR,logistic head,raw_head,"no support, no OOD guarded training, ID-only or native threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,low,completed in issue27p but paired protocol table needs explicit grouping
LR,logistic head,support_only,"attack support influences training/objective, no OOD training guard, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,low,completed in issue27p but paired protocol table needs explicit grouping
LR,logistic head,ood_train_guard_only,"OOD benign guard in training/objective, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,low,completed in issue27p but paired protocol table needs explicit grouping
LR,logistic head,threshold_guard_only,"no OOD training guard, ID_calib+OOD_val threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,low,completed in issue27p but paired protocol table needs explicit grouping
LR,logistic head,full_guarded,support + OOD guarded training + guarded threshold,"detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,low,completed in issue27p but paired protocol table needs explicit grouping
HistGB,tree head,raw_head,"no support, no OOD guarded training, ID-only or native threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,low,LOW-GUARD++ and shallow/random variants exist; needs paired matrix
HistGB,tree head,support_only,"attack support influences training/objective, no OOD training guard, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,low,LOW-GUARD++ and shallow/random variants exist; needs paired matrix
HistGB,tree head,ood_train_guard_only,"OOD benign guard in training/objective, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,low,LOW-GUARD++ and shallow/random variants exist; needs paired matrix
HistGB,tree head,threshold_guard_only,"no OOD training guard, ID_calib+OOD_val threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,low,LOW-GUARD++ and shallow/random variants exist; needs paired matrix
HistGB,tree head,full_guarded,support + OOD guarded training + guarded threshold,"detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,low,LOW-GUARD++ and shallow/random variants exist; needs paired matrix
DeepSAD-style,weighted center distance,raw_head,"no support, no OOD guarded training, ID-only or native threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,current leader; needs raw/support/guard/threshold decomposition
DeepSAD-style,weighted center distance,support_only,"attack support influences training/objective, no OOD training guard, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,current leader; needs raw/support/guard/threshold decomposition
DeepSAD-style,weighted center distance,ood_train_guard_only,"OOD benign guard in training/objective, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,current leader; needs raw/support/guard/threshold decomposition
DeepSAD-style,weighted center distance,threshold_guard_only,"no OOD training guard, ID_calib+OOD_val threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,current leader; needs raw/support/guard/threshold decomposition
DeepSAD-style,weighted center distance,full_guarded,support + OOD guarded training + guarded threshold,"detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,current leader; needs raw/support/guard/threshold decomposition
DevNet-style,small MLP score head,raw_head,"no support, no OOD guarded training, ID-only or native threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,unstable; needs interface audit and paired decomposition
DevNet-style,small MLP score head,support_only,"attack support influences training/objective, no OOD training guard, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,unstable; needs interface audit and paired decomposition
DevNet-style,small MLP score head,ood_train_guard_only,"OOD benign guard in training/objective, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,unstable; needs interface audit and paired decomposition
DevNet-style,small MLP score head,threshold_guard_only,"no OOD training guard, ID_calib+OOD_val threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,unstable; needs interface audit and paired decomposition
DevNet-style,small MLP score head,full_guarded,support + OOD guarded training + guarded threshold,"detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,unstable; needs interface audit and paired decomposition
IsolationForest_or_OCSVM,traditional anomaly detector,raw_head,"no support, no OOD guarded training, ID-only or native threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,support training not native; define guarded threshold and optional pseudo-support variant
IsolationForest_or_OCSVM,traditional anomaly detector,support_only,"attack support influences training/objective, no OOD training guard, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,support training not native; define guarded threshold and optional pseudo-support variant
IsolationForest_or_OCSVM,traditional anomaly detector,ood_train_guard_only,"OOD benign guard in training/objective, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,support training not native; define guarded threshold and optional pseudo-support variant
IsolationForest_or_OCSVM,traditional anomaly detector,threshold_guard_only,"no OOD training guard, ID_calib+OOD_val threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,support training not native; define guarded threshold and optional pseudo-support variant
IsolationForest_or_OCSVM,traditional anomaly detector,full_guarded,support + OOD guarded training + guarded threshold,"detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,medium,support training not native; define guarded threshold and optional pseudo-support variant
KitNET_AE_optional,autoencoder baseline,raw_head,"no support, no OOD guarded training, ID-only or native threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,high,only if implementation already available and cost acceptable
KitNET_AE_optional,autoencoder baseline,support_only,"attack support influences training/objective, no OOD training guard, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,high,only if implementation already available and cost acceptable
KitNET_AE_optional,autoencoder baseline,ood_train_guard_only,"OOD benign guard in training/objective, ID-only threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,high,only if implementation already available and cost acceptable
KitNET_AE_optional,autoencoder baseline,threshold_guard_only,"no OOD training guard, ID_calib+OOD_val threshold","detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,high,only if implementation already available and cost acceptable
KitNET_AE_optional,autoencoder baseline,full_guarded,support + OOD guarded training + guarded threshold,"detection_mean,detection_min,OOD_max,feasible_rate,protocol_gain_vs_raw",low detection_min or OOD_max > 0.01 under report-only final eval,high,only if implementation already available and cost acceptable
